indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
3263,Recreational and non-therapeutic drugs,.,.,"Family (includes nuclear family, polygamy, adoption)",Travel and transportation,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3264,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3265,.,.,.,.,.,.,.,.,.,Interpersonal relations (includes love),Sorcery (creating sickness or bad luck),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3266,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Other group (incl. proper names),.,.,.,.,.,.,.,.,.,.,.
3267,.,.,.,.,.,.,.,.,.,Fauna,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,.,.,.,.,.,.,.
3268,.,.,.,Travel and transportation,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3269,.,.,.,.,.,.,.,.,.,Buying and selling,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3270,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3271,.,.,.,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3272,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3273,.,.,.,.,.,.,.,.,.,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3274,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3275,.,.,.,.,.,.,.,.,.,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3276,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Recreational and non-therapeutic drugs,.,.,.,.,Communication,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3277,.,.,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,Ideas about nature and people,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3279,Flora,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3280,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3281,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3282,Conversation,.,.,Cultural identity and pride,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3283,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3284,.,.,.,Hunting and trapping,.,.,Drives and emotions,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
3285,.,.,.,Travel and transportation,.,.,.,.,.,.,.,.,.,.,.,.,.,2-5 singers,.,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,Female,.,Adults,.,.,.,.
3286,.,.,.,Food consumption,.,.,Drives and emotions,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,Married,Other group (incl. proper names),.,.,.,.,Male,Married,Adults,.,.,.,.
3287,.,.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,Intra-community relations,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,2-5 listeners,Adult,.,Male,.,Adults,.,.,.,.
3288,.,.,.,Games,.,.,.,.,.,War,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
3289,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,Married,Other group (incl. proper names),.,.,.,.,Male,Married,Adults,.,.,.,.
3290,.,.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,Drives and emotions,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
3291,.,.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,Food consumption,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,Married,Hunters,.,.,.,.,Female,Married,Adults,.,.,.,.
3292,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3293,Tools and appliances (not weapons),.,.,Food consumption,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Chordophone,.,.
3294,Fauna,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
3295,.,.,.,.,.,.,Communication,Traditional history,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
3296,.,.,.,.,.,.,Communication,Interpersonal relations (includes love),Gift giving,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3297,Drives and emotions,.,.,.,.,.,Communication,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3298,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3299,Hunting and trapping,.,.,Dwellings,Hunting and trapping,.,Hunting and trapping,.,.,Hunting and trapping,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,Married,.,.,.,.,.,Male,.,Adults,.,.,.,.
3300,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Hunting and trapping,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Fauna,.,"Status, role, and prestige",Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
3301,.,.,.,Travel and transportation,.,.,Communication,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,Hunters,.,.,.,.,Female,Married,Adults,.,.,.,.
3302,"Food processing (includes food preparation, storage, and preservation)",.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3303,.,.,.,Hunting and trapping,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
3304,.,.,.,Hunting and trapping,.,.,Fauna,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
3305,.,.,.,Communication,Traditional history,.,Communication,Traditional history,.,.,.,.,.,.,.,1-10 hours,No recurrence,Solo singer,Elder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3306,Drama,.,.,.,.,.,.,Drama,.,Drama,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3307,.,.,.,Interpersonal relations (includes love),.,.,.,.,.,Interpersonal relations (includes love),.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,Unmarried,Other group (incl. proper names),.,.,.,.,.,.,.,.,.,.,.
3308,.,.,.,.,.,.,.,Traditional history,Cultural identity and pride,Cultural identity and pride,.,.,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3309,.,.,.,.,.,.,Communication,"Status, role, and prestige",.,Communication,Drives and emotions,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3310,.,.,.,.,.,.,Communication,"Status, role, and prestige",.,Drama,Fauna,Numbers and measures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3311,.,.,.,.,.,.,Communication,"Status, role, and prestige",.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Ideas about nature and people,Travel and transportation,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3312,.,.,.,Interpersonal relations (includes love),Marriage,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Fauna,Travel and transportation,.,.,.,.,.,.,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3313,.,.,.,.,.,.,.,Traditional history,.,.,.,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3314,"Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,Sex (not extramarital),.,.,Sex (not extramarital),"Family (includes nuclear family, polygamy, adoption)",Human Biology,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3315,"Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,Sex (not extramarital),.,.,Human Biology,Interpersonal relations (includes love),"Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3316,Puberty and initiation,.,.,.,.,.,Puberty and initiation,.,.,Adornment,Drives and emotions,Puberty and initiation,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3317,Extramarital sex relations (adultery),.,.,.,.,.,Extramarital sex relations (adultery),Communication,.,Extramarital sex relations (adultery),"Family (includes nuclear family, polygamy, adoption)",Communication,.,.,.,.,.,2-5 singers,Adult,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3318,Interpersonal relations (includes love),.,.,.,.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Infancy and childhood,.,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3319,Extramarital sex relations (adultery),.,.,.,.,.,Interpersonal relations (includes love),.,.,"Family (includes nuclear family, polygamy, adoption)",Social stratification (includes slavery),Interpersonal relations (includes love),.,.,.,.,.,2-5 singers,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3320,.,.,.,.,.,.,Interpersonal relations (includes love),.,.,Sex (not extramarital),Adornment,Interpersonal relations (includes love),.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3321,.,.,.,.,.,.,Interpersonal relations (includes love),Sex (not extramarital),.,Human Biology,Property,Drives and emotions,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3322,Puberty and initiation,.,.,.,.,.,.,.,.,Human Biology,Puberty and initiation,.,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adolescent/young adult,.,Female,Unmarried,Adolescents,.,.,.,.
3323,.,.,.,.,.,.,Socialization and education,Communication,Interpersonal relations (includes love),Interpersonal relations (includes love),Drives and emotions,.,.,.,.,.,.,2-5 singers,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3324,Interpersonal relations (includes love),.,.,.,.,.,Interpersonal relations (includes love),.,.,Marriage,Adornment,Buying and selling,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3325,Sex (not extramarital),Location,.,.,.,.,Socialization and education,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3326,Interpersonal relations (includes love),.,.,.,.,.,Sex (not extramarital),.,.,Drives and emotions,Interpersonal relations (includes love),.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3327,Interpersonal relations (includes love),.,.,.,.,.,Sex (not extramarital),.,.,Sex (not extramarital),Human Biology,Drives and emotions,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3328,Sorcery (creating sickness or bad luck),Fauna,.,.,.,.,Drives and emotions,Interpersonal relations (includes love),.,Fauna,.,Interpersonal relations (includes love),.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3329,Sex (not extramarital),.,.,.,.,.,Communication,.,.,Interpersonal relations (includes love),Communication,.,Sex (not extramarital),.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adult,.,Female,.,Adults,.,.,.,.
3330,Sex (not extramarital),.,.,.,.,.,Communication,Interpersonal relations (includes love),.,Sex (not extramarital),"Sickness, medical care, and shamans","Family (includes nuclear family, polygamy, adoption)",Interpersonal relations (includes love),.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adolescent/young adult,.,Female,Unmarried,Adolescents,.,.,.,.
3331,Sex (not extramarital),.,.,.,.,.,Interpersonal relations (includes love),.,.,Drives and emotions,"Family (includes nuclear family, polygamy, adoption)","Family (includes nuclear family, polygamy, adoption)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,2-5 singers,Adult,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3332,Sex (not extramarital),.,.,.,.,.,Socialization and education,.,.,Sex (not extramarital),Human Biology,.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3333,Sex (not extramarital),.,.,.,.,.,Sex (not extramarital),.,.,Human Biology,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3334,Hunting and trapping,.,.,.,.,.,Interpersonal relations (includes love),.,.,Hunting and trapping,.,Drives and emotions,Marriage,.,.,.,.,2-5 singers,Adolescent/young adult,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3335,.,.,.,Dance,Tools and appliances (not weapons),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,Membranophone,.
3336,"Death (burials, funerals, mourning)",Climate,.,Agriculture,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3337,Marriage,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3338,Fauna,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Dance,Spectacles,.,Spectacles,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,Aerophone,Idiophone
3339,Interpersonal relations (includes love),Travel and transportation,Travel and transportation,Interpersonal relations (includes love),Socialization and education,Socialization and education,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),Sex (not extramarital),Avoidance and taboo,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3340,Pregnancy and childbirth,Spectacles,.,Pregnancy and childbirth,Spectacles,.,Pregnancy and childbirth,Spectacles,.,Pregnancy and childbirth,"Sickness, medical care, and shamans",Human Biology,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,Multiple singers (number unknown),Adult,.,Female,Married,Adults,.,.,.,.
3341,Pregnancy and childbirth,Spectacles,.,Pregnancy and childbirth,Spectacles,.,Pregnancy and childbirth,Spectacles,.,Ideas about nature and people,Gender roles and issues,Pregnancy and childbirth,Pregnancy and childbirth,.,.,.,.,Multiple singers (number unknown),Elder,.,.,.,.,.,.,.,.,.,Elders,.,.,.,.,Female,Married,Adults,.,.,.,.
3342,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,.,Dance,Gender roles and issues,Water and thirst,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3343,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Fauna,Interpersonal relations (includes love),.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3344,Spectacles,.,.,Spectacles,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3345,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Animal husbandry,Ideas about nature and people,Ideas about nature and people,.,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3346,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Tools and appliances (not weapons),"Family (includes nuclear family, polygamy, adoption)",Climate,.,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3347,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Fauna,"Family (includes nuclear family, polygamy, adoption)",Water and thirst,Gender roles and issues,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3348,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Location,Sleeping,Interpersonal relations (includes love),Dance,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3349,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Location,Dance,Gender roles and issues,Drives and emotions,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3350,Cultural identity and pride,Hunting and trapping,Spectacles,Cultural identity and pride,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3351,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,Fauna,Flora,Drives and emotions,Drives and emotions,Night (2200 to 0400),Night (2200 to 0400),.,.,11-20 singers,Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,6-10 listeners,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
3352,Climate,Ideas about nature and people,.,Games,.,.,Games,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),Adolescent/young adult,.,Line (or row),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
3353,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Fauna,Interpersonal relations (includes love),Interpersonal relations (includes love),Hunting and trapping,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3354,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,"Family (includes nuclear family, polygamy, adoption)",Location,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3355,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Dwellings,Gender roles and issues,Ideas about nature and people,Interpersonal relations (includes love),.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3356,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Ideas about nature and people,fire,Senescence,Infancy and childhood,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3357,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Territorial organization (includes towns and cities),"Family (includes nuclear family, polygamy, adoption)",Flora,Fauna,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3358,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Ideas about nature and people,Adornment,Fauna,Infancy and childhood,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3359,Dance,Interpersonal relations (includes love),.,Dance,.,.,.,.,.,Fauna,Hunting and trapping,.,.,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3360,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,.,Gender roles and issues,Human Biology,Sex (not extramarital),.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,.,.,.,.,.,.,.
3361,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Ideas about nature and people,Sex (not extramarital),Drives and emotions,Human Biology,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3362,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,.,Extramarital sex relations (adultery),.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3363,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Sex (not extramarital),Drives and emotions,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3364,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Sex (not extramarital),Drives and emotions,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
