"","indx","cite_text_manual","cite_url_manual","cite_page_manual","cite_text","cite_url","cite_pages","cite_byline","cite_analyst","cite_language","cite_title","cite_docid","cite_author","cite_doctype","cite_docnum","cite_location","cite_date","cite_fielddate","cite_evaluation","cite_publisher","pubyear","pubnonenglish","cite_author.1","author_female","author_age","authorfield_science","authorfield_ethno","authorfield_linguistic","authorfield_education","authorfield_art","authorfield_medicine","authorfield_business","authorfield_religion","authorfield_govt","authorfield_socialscience","authorfield_travel","authorfield_local"
"4054",4054,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","290-291","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","290-291","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4055",4055,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","292-293","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","292-293","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4056",4056,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","292-293","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","292-293","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4057",4057,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4058",4058,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4059",4059,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","293-294","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4060",4060,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4061",4061,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4062",4062,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4063",4063,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","294-296","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4064",4064,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","296-297","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","296-297","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4065",4065,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","296-297","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","296-297","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4066",4066,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4067",4067,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4068",4068,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","298-299","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4069",4069,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","297","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","297","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4070",4070,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","299-300","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","299-300","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4071",4071,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","300-301","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","300-301","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4072",4072,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","308-309","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","308-309","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4073",4073,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","436","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","436","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4074",4074,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4075",4075,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4076",4076,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","439","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","439","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4077",4077,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","440-441","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4078",4078,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","508-509","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","508-509","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4079",4079,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","517","","http://ehrafworldcultures.yale.edu/document?id=ot11-002","517","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",NA,0,"Firth, Raymond William, 1901-",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"4080",4080,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","517","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","517","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4081",4081,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","520-522","","http://ehrafworldcultures.yale.edu/document?id=ot11-002","520-522","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",NA,0,"Firth, Raymond William, 1901-",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"4082",4082,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","520-522","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","520-522","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4083",4083,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",NA,0,"Firth, Raymond William, 1901-",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"4084",4084,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","522-523","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","522-523","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4085",4085,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","522-523","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","522-523","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4086",4086,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",1936,0,"Firth, Raymond William, 1901-",0,35,0,1,0,0,0,0,0,0,0,0,0,0
"4087",4087,"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","","http://ehrafworldcultures.yale.edu/document?id=ot11-002","549-550","[by] Raymond Firth ; with a preface by Bronislaw Malinowski","Alice McCloskey","English","We, the Tikopia","ot11-002","Firth, Raymond William, 1901-","Monograph",2,"Tikopia Island, Solomon Islands","not specified","1928-29","ethnologist","London, England",NA,0,"Firth, Raymond William, 1901-",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"4088",4088,"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","1","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","1","Charles Keil","Ian Skoggard ; 1996","English","Tiv song","ff57-033","Keil, Charles","Monograph",33,"Benue State, Nigeria","1912-1967","1965-1967","ethnologist","Chicago, Ill.",1979,0,"Keil, Charles",0,40,0,1,0,0,0,0,0,0,0,0,0,0
"4089",4089,"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","10","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","10","Charles Keil","Ian Skoggard ; 1996","English","Tiv song","ff57-033","Keil, Charles","Monograph",33,"Benue State, Nigeria","1912-1967","1965-1967","ethnologist","Chicago, Ill.",1979,0,"Keil, Charles",0,40,0,1,0,0,0,0,0,0,0,0,0,0
"4090",4090,"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Charles Keil","Ian Skoggard ; 1996","English","Tiv song","ff57-033","Keil, Charles","Monograph",33,"Benue State, Nigeria","1912-1967","1965-1967","ethnologist","Chicago, Ill.",1979,0,"Keil, Charles",0,40,0,1,0,0,0,0,0,0,0,0,0,0
"4091",4091,"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Charles Keil","Ian Skoggard ; 1996","English","Tiv song","ff57-033","Keil, Charles","Monograph",33,"Benue State, Nigeria","1912-1967","1965-1967","ethnologist","Chicago, Ill.",1979,0,"Keil, Charles",0,40,0,1,0,0,0,0,0,0,0,0,0,0
"4092",4092,"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.","http://ehrafworldcultures.yale.edu/document?id=ff57-033","39","Charles Keil","Ian Skoggard ; 1996","English","Tiv song","ff57-033","Keil, Charles","Monograph",33,"Benue State, Nigeria","1912-1967","1965-1967","ethnologist","Chicago, Ill.",1979,0,"Keil, Charles",0,40,0,1,0,0,0,0,0,0,0,0,0,0
