indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
4055,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,292-293,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4056,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,292-293,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4057,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,293-294,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4058,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,293-294,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4059,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,293-294,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4060,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,294-296,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4061,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,294-296,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4062,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,294-296,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4063,FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,294-296,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4064,GRANDPARENTS AND GRANDCHILDREN (603); FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,296-297,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4065,GRANDPARENTS AND GRANDCHILDREN (603); FAMILY RELATIONSHIPS (593); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,296-297,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4066,FAMILY RELATIONSHIPS (593); SUICIDE (762); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,298-299,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4067,FAMILY RELATIONSHIPS (593); SUICIDE (762); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,298-299,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4068,FAMILY RELATIONSHIPS (593); SUICIDE (762); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,298-299,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4069,FAMILY RELATIONSHIPS (593); KIN RELATIONSHIPS (602),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,297,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4070,LITERARY TEXTS (539); AVUNCULAR AND NEPOTIC RELATIVES (604),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,299-300,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4071,LITERARY TEXTS (539); AVUNCULAR AND NEPOTIC RELATIVES (604),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,300-301,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4072,INGROUP ANTAGONISMS (578); KINSHIP TERMINOLOGY (601); LITERARY TEXTS (539); SIBLINGS-IN-LAW (607),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,308-309,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4073,PUBERTY AND INITIATION (881),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,436,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4074,PUBERTY AND INITIATION (881); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,440-441,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4075,PUBERTY AND INITIATION (881); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,440-441,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4076,BODY ALTERATIONS (304); PUBERTY AND INITIATION (881),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,439,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4077,PUBERTY AND INITIATION (881); LITERARY TEXTS (539),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,440-441,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4078,LITERARY TEXTS (539); ORNAMENT (301); PERSONAL GROOMING (302); SEXUALITY (831),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,508-509,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4079,ARRANGING A MARRIAGE (584); DRIVES AND EMOTIONS (152),,http://ehrafworldcultures.yale.edu/document?id=ot11-002,517,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4080,DRIVES AND EMOTIONS (152); ARRANGING A MARRIAGE (584),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,517,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4081,SEXUAL INTERCOURSE (833); ORATORY (537); LITERATURE (538); LITERARY TEXTS (539); SEXUALITY (831),,http://ehrafworldcultures.yale.edu/document?id=ot11-002,520-522,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4082,ORATORY (537); LITERATURE (538); LITERARY TEXTS (539); SEXUALITY (831),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,520-522,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4083,NUPTIALS (585); LITERATURE (538),,http://ehrafworldcultures.yale.edu/document?id=ot11-002,549-550,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4084,LITERATURE (538); LITERARY TEXTS (539); SEXUALITY (831),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,522-523,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4085,LITERATURE (538); LITERARY TEXTS (539); SEXUALITY (831),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,522-523,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4086,NUPTIALS (585); LITERATURE (538),"Firth, Raymond. 1936. “We, The Tikopia: A Sociological Study Of Kinship In Primitive Polynesia.” London, England: George Allen and Unwin, Ltd.",http://ehrafworldcultures.yale.edu/document?id=ot11-002,549-550,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4087,NUPTIALS (585); LITERATURE (538),,http://ehrafworldcultures.yale.edu/document?id=ot11-002,549-550,[by] Raymond Firth ; with a preface by Bronislaw Malinowski,Alice McCloskey,English,"We, the Tikopia",ot11-002,"Firth, Raymond William, 1901-",Monograph,2,"Tikopia Island, Solomon Islands",not specified,1928-29,Ethnologist-5,"London, England"
4088,ETHOS (181); DISCIPLINE AND MORALE (703); DANCE (535),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,1,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4089,ETHOS (181); DISCIPLINE AND MORALE (703); DANCE (535),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,10,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4090,"STATUS, ROLE, AND PRESTIGE (554)","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,39,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4091,"STATUS, ROLE, AND PRESTIGE (554)","Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,39,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4092,SEMANTICS (196),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,39,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4093,THEORETICAL ORIENTATION (121),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,55,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4094,MYTHOLOGY (773),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,55,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4095,THEORETICAL ORIENTATION (121); LITERATURE (538); HUMOR (522); COMMUNITY HEADS (622),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,77,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4096,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4097,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4098,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4099,THEORETICAL ORIENTATION (121); LITERATURE (538),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,77,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4100,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4101,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4102,SEXUAL INTERCOURSE (833); ETHNOANATOMY (826),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4103,LITERATURE (538); GRATIFICATION AND CONTROL OF HUNGER (261),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,81,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4104,LITERATURE (538); REVELATION AND DIVINATION (787),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,82,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4105,LITERATURE (538); HUMOR (522); ELIMINATION (514); COMMUNITY HEADS (622),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,87,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4106,LITERATURE (538); ELIMINATION (514); FOOD PREPARATION (252); HUMOR (522); COMMUNITY HEADS (622),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,88,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4107,PRAYERS AND SACRIFICES (782),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,92,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4108,PRAYERS AND SACRIFICES (782),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,92,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4109,LITERATURE (538); PRAYERS AND SACRIFICES (782),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,92,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4110,MUSICAL INSTRUMENTS (534); DANCE (535); HUMOR (522); LITERATURE (538); DIVISION OF LABOR BY GENDER (462),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,93,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4111,MUSICAL INSTRUMENTS (534); DANCE (535); HUMOR (522); LITERATURE (538); DIVISION OF LABOR BY GENDER (462),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,93,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4112,MUSICAL INSTRUMENTS (534); DANCE (535); HUMOR (522); LITERATURE (538); DIVISION OF LABOR BY GENDER (462),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,93,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4113,ARRANGING A MARRIAGE (584); LITERATURE (538); MUSICAL INSTRUMENTS (534); COMMUNITY HEADS (622),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,93,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
4114,ARRANGING A MARRIAGE (584); LITERATURE (538); MUSICAL INSTRUMENTS (534); COMMUNITY HEADS (622),"Keil, Charles. 1979. “Tiv Song.” Chicago, Ill.: The University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=ff57-033,93,Charles Keil,Ian Skoggard ; 1996,English,Tiv song,ff57-033,"Keil, Charles",Monograph,33,"Benue State, Nigeria",1912-1967,1965-1967,Ethnologist-5,"Chicago, Ill."
